0,Ipin, Group, GroupStart, GroupEnd
1,"Ibere Isin ati Akunleko","Introit Hymn",1,14
2,"Orin Ope ati Iyin","Praise and Thanksgiving Hymn",15,36
3,"Orin Owuro","Morning Hymn",37,44
4,"Orin Ale","Night Hymn",45,52
5,"Ojo Ibi Kristi","Birth of Christ",53,62
6,"Bibo Jesu Oluwa","Coming of Jesus Christ",63, 74
7,"Lenti ati Ironupiwada","Lent and Repentance",75,94
8,"Ojo Isimi Ope","Palm Sunday",95,98
9,"Ijiya ati Iku Jesu","Crucification and Death of Jesus",99,102
10,"Ajinde Jesu Oluwa","Ressurection of Jesus Christ",103,116
11,"Orin Ajodun Oluwa Temi Kiise Aseti","My God Never Fails Hymn",117,121
12,"Orin Isegun","Victory Hymn",122,133
13,"Agbara Emi Mimo Olorun","Power of Holy Spirit",134,143
14,"Opin Odun Ati Odun Titun","New Year",144,147
15,"Orin Igbeyawo","Marriage Hymn",148,155
16,"Igbagbo","Faith Hymn",156,170
17,"Ile Eko Ojo Isimi","Sunday School",171,172
18,"Oro Olorun","Word of God",173,196
19,"Ile Orun","Heavenly Home",197,208
20,"Adura","Prayer",209,238
21,"Baptismu (Iribomi)","Baptism (Immersion)",239,246
22,"Ojo Oluwa","Day of the Lord",247,266
23,"Ounje Ale Oluwa","Last Supper",267,277
24,"Orin Ikore","Harvest",278,290
25,"Kiko tabi Sisi ile Olorun","Foundation Laying/Church Dedication",291,298
26,"Isinku","Burial",299,314
27,"Orin Akole","Additional Hymns",315,325
28,"Orin Omode","Children Hymn",326,344
29,"Ise Isin","Worship",345,356
30,"Ijo Olorun","Church",357,368
31,"Ojo awon Eniyan Mimo","Day of the Saint",369,377
32,"Omi Iye","Living Water",378,380
33,"Orin Isoji","Revival Hymn",381,385
34,"Orin Oniruru","Various Hymns",386,403
35,"Orin Ope ati Iyin","Praise and Thanksgiving Hymn",404,405
36,"Orin Ale","Night Hymn",406,408
37,"Orin Owuro","Morning Hymn",409,409
38,"Igbagbo","Faith Hymn",410,410
39,"Agbara Emi Mimo Olorun","Power of Holy Spirit",411,421
40,"Adura","Prayer",422,422
41,"Igbagbo","Faith Hymn",423,426
42,"Agbara Emi Mimo Olorun","Power of Holy Spirit",427,428
43,"Orin Isoji","Revival Hymn",429,431
44,"Ise Oluwa","Work of the Lord",432,433
45,"Agbara Emi Mimo Olorun","Power of Holy Spirit",434,437
46,"Ise Isin","Worship",438,445


